#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126      NaN       NaN       NaN       NaN       NaN
   0.00630  0.99403  0.00328      NaN       NaN       NaN       NaN       NaN
   0.01730  0.98360  0.00677      NaN       NaN       NaN       NaN       NaN
   0.03014  0.97140  0.01079      NaN       NaN       NaN       NaN       NaN
   0.04448  0.95775  0.01519      NaN       NaN       NaN       NaN       NaN
   0.05983  0.94312  0.01981      NaN       NaN       NaN       NaN       NaN
   0.07574  0.92791  0.02450      NaN       NaN       NaN       NaN       NaN
   0.09195  0.91239  0.02916      NaN       NaN       NaN       NaN       NaN
   0.10830  0.89671  0.03377      NaN       NaN       NaN       NaN       NaN
   0.12471  0.88093  0.03828      NaN       NaN       NaN       NaN       NaN
   0.14115  0.86509  0.04269      NaN       NaN       NaN       NaN       NaN
   0.15761  0.84920  0.04699      NaN       NaN       NaN       NaN       NaN
   0.17407  0.83328  0.05118      NaN       NaN       NaN       NaN       NaN
   0.19053  0.81733  0.05526      NaN       NaN       NaN       NaN       NaN
   0.20699  0.80136  0.05923      NaN       NaN       NaN       NaN       NaN
   0.22345  0.78536  0.06309      NaN       NaN       NaN       NaN       NaN
   0.23991  0.76934  0.06683      NaN       NaN       NaN       NaN       NaN
   0.25635  0.75329  0.07046      NaN       NaN       NaN       NaN       NaN
   0.27280  0.73723  0.07397      NaN       NaN       NaN       NaN       NaN
   0.28923  0.72115  0.07736      NaN       NaN       NaN       NaN       NaN
   0.30566  0.70505  0.08064      NaN       NaN       NaN       NaN       NaN
   0.32208  0.68894  0.08379      NaN       NaN       NaN       NaN       NaN
   0.33848  0.67281  0.08683      NaN       NaN       NaN       NaN       NaN
   0.35488  0.65668  0.08974      NaN       NaN       NaN       NaN       NaN
   0.37127  0.64053  0.09253      NaN       NaN       NaN       NaN       NaN
   0.38764  0.62438  0.09519      NaN       NaN       NaN       NaN       NaN
   0.40400  0.60822  0.09773      NaN       NaN       NaN       NaN       NaN
